gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
FABP4,0,4.095343633,0.81,0.2,0,endothelial
EDNRB,0,3.685811311,0.808,0.127,0,endothelial
PLVAP,0,3.66658526,0.835,0.128,0,endothelial
DNASE1L3li1,0,3.464966332,0.844,0.199,0,endothelial
FLT1,0,3.421898151,0.831,0.114,0,endothelial
PLPP3,0,3.40641798,0.865,0.204,0,endothelial
EMCN,0,3.251507649,0.838,0.143,0,endothelial
ADGRF5,0,3.202722051,0.779,0.077,0,endothelial
CD36,0,3.139683019,0.779,0.163,0,endothelial
LYVE1,0,3.086666507,0.805,0.233,0,endothelial
RAMP2,0,2.988488595,0.83,0.134,0,endothelial
CAVIN2,0,2.95303051,0.721,0.073,0,endothelial
PTPRB,0,2.931797884,0.762,0.08,0,endothelial
TEK,0,2.846654216,0.72,0.063,0,endothelial
APP,0,2.845909818,0.819,0.251,0,endothelial
CDKN1C,0,2.841940453,0.757,0.28,0,endothelial
SPATA5,0,2.766354254,0.615,0.131,0,endothelial
ADGRL4,0,2.729722322,0.692,0.056,0,endothelial
RGCC,0,2.728539917,0.722,0.176,0,endothelial
TGFBR2,0,2.719653772,0.779,0.204,0,endothelial
PLAT,0,2.622866872,0.668,0.083,0,endothelial
NR2F2,0,2.594858225,0.758,0.226,0,endothelial
ELK3,0,2.560286843,0.769,0.243,0,endothelial
ICAM2,0,2.533414211,0.72,0.083,0,endothelial
S1PR1,0,2.519725935,0.672,0.078,0,endothelial
EPAS1,0,2.516756983,0.724,0.165,0,endothelial
TIMP3,0,2.486115499,0.952,0.639,0,endothelial
PODXL,0,2.47946227,0.655,0.058,0,endothelial
NOSTRIN,0,2.448991994,0.673,0.076,0,endothelial
ACKR2,0,2.440587132,0.491,0.04,0,endothelial
KDR,0,2.401217742,0.628,0.041,0,endothelial
RAMP3,0,2.391133521,0.648,0.055,0,endothelial
F8,0,2.382437268,0.579,0.042,0,endothelial
TCF4,0,2.353890492,0.782,0.358,0,endothelial
FABP5li2,0,2.35239672,0.67,0.154,0,endothelial
CLDN5,0,2.325412187,0.541,0.056,0,endothelial
SPTBN1,0,2.3093581,0.845,0.458,0,endothelial
TXNIP,0,2.308627772,0.927,0.664,0,endothelial
