"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"FABP4",0,4.09534363258169,0.81,0.2,0,"endothelial"
"EDNRB",0,3.68581131096055,0.808,0.127,0,"endothelial"
"PLVAP",0,3.66658526009419,0.835,0.128,0,"endothelial"
"DNASE1L3li1",0,3.46496633162333,0.844,0.199,0,"endothelial"
"FLT1",0,3.42189815061874,0.831,0.114,0,"endothelial"
"PLPP3",0,3.40641797960637,0.865,0.204,0,"endothelial"
"EMCN",0,3.25150764888052,0.838,0.143,0,"endothelial"
"ADGRF5",0,3.20272205056903,0.779,0.077,0,"endothelial"
"CD36",0,3.13968301920502,0.779,0.163,0,"endothelial"
"LYVE1",0,3.08666650665195,0.805,0.233,0,"endothelial"
"RAMP2",0,2.98848859529237,0.83,0.134,0,"endothelial"
"CAVIN2",0,2.9530305095905,0.721,0.073,0,"endothelial"
"PTPRB",0,2.9317978844998,0.762,0.08,0,"endothelial"
"TEK",0,2.84665421629791,0.72,0.063,0,"endothelial"
"APP",0,2.84590981816216,0.819,0.251,0,"endothelial"
"CDKN1C",0,2.84194045262019,0.757,0.28,0,"endothelial"
"SPATA5",0,2.76635425409412,0.615,0.131,0,"endothelial"
"ADGRL4",0,2.72972232172751,0.692,0.056,0,"endothelial"
"RGCC",0,2.72853991688702,0.722,0.176,0,"endothelial"
"TGFBR2",0,2.719653772458,0.779,0.204,0,"endothelial"
"PLAT",0,2.62286687205049,0.668,0.083,0,"endothelial"
"NR2F2",0,2.59485822503893,0.758,0.226,0,"endothelial"
"ELK3",0,2.56028684274241,0.769,0.243,0,"endothelial"
"ICAM2",0,2.53341421084165,0.72,0.083,0,"endothelial"
"S1PR1",0,2.51972593531607,0.672,0.078,0,"endothelial"
"EPAS1",0,2.51675698263751,0.724,0.165,0,"endothelial"
"TIMP3",0,2.48611549878313,0.952,0.639,0,"endothelial"
"PODXL",0,2.47946227032162,0.655,0.058,0,"endothelial"
"NOSTRIN",0,2.44899199362719,0.673,0.076,0,"endothelial"
"ACKR2",0,2.44058713207938,0.491,0.04,0,"endothelial"
"KDR",0,2.40121774176312,0.628,0.041,0,"endothelial"
"RAMP3",0,2.3911335206179,0.648,0.055,0,"endothelial"
"F8",0,2.38243726774385,0.579,0.042,0,"endothelial"
"TCF4",0,2.3538904918606,0.782,0.358,0,"endothelial"
"FABP5li2",0,2.3523967197931,0.67,0.154,0,"endothelial"
"CLDN5",0,2.3254121867074,0.541,0.056,0,"endothelial"
"SPTBN1",0,2.3093581003638,0.845,0.458,0,"endothelial"
"TXNIP",0,2.3086277717935,0.927,0.664,0,"endothelial"
"ENG",0,2.29770070399879,0.666,0.087,0,"endothelial"
"CEMIP2",0,2.29150540151755,0.613,0.142,0,"endothelial"
"SLC9A3R2",0,2.28384090317608,0.67,0.098,0,"endothelial"
"TIMP4",0,2.27699438042751,0.585,0.05,0,"endothelial"
"L1TD1li5",0,2.26893862953707,0.505,0.071,0,"endothelial"
"RBP5",0,2.25501817283085,0.586,0.052,0,"endothelial"
"EHD3",0,2.25314346176498,0.535,0.115,0,"endothelial"
"MAL",0,2.21594846704849,0.663,0.115,0,"endothelial"
"MT1",0,2.19725958662438,0.888,0.502,0,"endothelial"
"TMEM176A",0,2.17073248380227,0.807,0.423,0,"endothelial"
"TSC22D1",0,2.14216075909962,0.735,0.386,0,"endothelial"
"CSGALNACT1",0,2.1129641396701,0.601,0.102,0,"endothelial"
"DLC1",0,2.08193824126074,0.646,0.149,0,"endothelial"
"INSR",0,2.0687772489901,0.752,0.424,0,"endothelial"
"EGFL7",0,2.04433163760288,0.645,0.124,0,"endothelial"
"ERG",0,2.04432246567803,0.552,0.034,0,"endothelial"
"CYP7B1",0,2.01764718760583,0.559,0.094,0,"endothelial"
"CALCRL",0,2.01003371892586,0.56,0.039,0,"endothelial"
"COL4A1",0,1.96955604515319,0.559,0.055,0,"endothelial"
"RAPGEF5",0,1.96601493310326,0.572,0.113,0,"endothelial"
"GYPC",0,1.96322955141183,0.7,0.304,0,"endothelial"
"TMEM88",0,1.94423709218462,0.546,0.054,0,"endothelial"
"SPARC",0,1.92683869127821,0.69,0.125,0,"endothelial"
"LDB2",0,1.92470019743463,0.515,0.036,0,"endothelial"
"PHACTR2",0,1.9162934772821,0.631,0.191,0,"endothelial"
"TSORFli91",0,1.91624866009514,0.492,0.079,0,"endothelial"
"ADAMTS5",0,1.89664211407713,0.494,0.069,0,"endothelial"
"PREX2",0,1.85949133859816,0.531,0.045,0,"endothelial"
"C1ORF115",0,1.84292456850393,0.697,0.421,0,"endothelial"
"TINAGL1",0,1.83824850440091,0.543,0.052,0,"endothelial"
"SNCG",0,1.81400967170208,0.711,0.219,0,"endothelial"
"MAF",0,1.80116316472734,0.57,0.146,0,"endothelial"
"BST2",0,1.80002930251121,0.818,0.531,0,"endothelial"
"TRIM4li1",0,1.78267875695997,0.637,0.236,0,"endothelial"
"KLF2",0,1.77926622451652,0.583,0.153,0,"endothelial"
"TJP1",0,1.77732600519707,0.636,0.225,0,"endothelial"
"ITGA2",0,1.73156978218613,0.736,0.361,0,"endothelial"
"HGF",0,1.72116419141225,0.409,0.031,0,"endothelial"
"FMO2li1",0,1.71122573500081,0.575,0.087,0,"endothelial"
"FKBP5",0,1.70569926082559,0.727,0.252,0,"endothelial"
"SELENOP",0,1.70534733645501,0.904,0.653,0,"endothelial"
"TCIM",0,1.68699573608233,0.415,0.031,0,"endothelial"
"S100A13",0,1.68389810161199,0.694,0.323,0,"endothelial"
"UTRN",0,1.6562710571903,0.753,0.49,0,"endothelial"
"MSN",0,1.65175100018451,0.674,0.218,0,"endothelial"
"RARB",0,1.65148590998415,0.432,0.038,0,"endothelial"
"UPP1",0,1.63525397645511,0.467,0.042,0,"endothelial"
"ANXA2",0,1.62610066560954,0.745,0.327,0,"endothelial"
"COL13A1",0,1.62603036781249,0.435,0.024,0,"endothelial"
"BMPR2",0,1.62290888130706,0.583,0.222,0,"endothelial"
"COL4A2",0,1.61149853362405,0.459,0.048,0,"endothelial"
"FKBP1A",0,1.60159523059355,0.813,0.546,0,"endothelial"
"LAPTM4B",0,1.59115619119013,0.566,0.194,0,"endothelial"
"ID3",0,1.59086416862157,0.755,0.297,0,"endothelial"
"ARHGAP29",0,1.5879361760827,0.483,0.061,0,"endothelial"
"PRDM4",0,1.58656348203215,0.448,0.117,0,"endothelial"
"LIMCH1",0,1.57772166035689,0.592,0.232,0,"endothelial"
"CDC42EP3",0,1.57063131263026,0.495,0.121,0,"endothelial"
"TMEM176B",0,1.57016249158849,0.755,0.473,0,"endothelial"
"YWHAHli1",0,1.56603216764243,0.6,0.278,0,"endothelial"
