"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"GNLY",0,3.10693016323945,0.849,0.012,0,"NK cells"
"NKG7",0,2.55029804949262,0.976,0.308,0,"NK cells"
"GZMB",0,2.19119192088535,0.862,0.101,0,"NK cells"
"FGFBP2",0,1.60080578630459,0.672,0.006,0,"NK cells"
"PRF1",0,1.51175505544644,0.754,0.108,0,"NK cells"
"KLRF1",1.38861841371358e-247,0.818750192839897,0.362,0.006,2.57672032848693e-243,"NK cells"
"CST7",4.48044540791822e-230,1.33709374017793,0.827,0.251,8.31391449893305e-226,"NK cells"
"KLRD1",1.00188018752947e-218,1.18279114557438,0.676,0.122,1.85908887597968e-214,"NK cells"
"CD247",1.14455946462511e-210,0.888467778546683,0.525,0.077,2.12384454255836e-206,"NK cells"
"SPON2",3.45420392422795e-185,0.781220004180499,0.377,0.028,6.40962080179738e-181,"NK cells"
"GZMH",9.70358446460914e-185,1.19765424962218,0.728,0.199,1.80059713325287e-180,"NK cells"
"KLRB1",9.35434693474728e-179,1.21419680371541,0.581,0.091,1.73579261721171e-174,"NK cells"
"CTSW",4.31412570064799e-171,0.977233937703283,0.623,0.151,8.00529165012241e-167,"NK cells"
"MYOM2",8.00432106765834e-163,0.615540812012922,0.267,0.009,1.48528181731468e-158,"NK cells"
"LAIR2",6.02078767897518e-154,0.552417892987798,0.256,0.007,1.11721736171063e-149,"NK cells"
"CCL5",3.16042643319905e-148,1.00784744143499,0.896,0.374,5.86448728944416e-144,"NK cells"
"GZMA",6.04911434646852e-130,0.828728486267935,0.786,0.289,1.1224736581307e-125,"NK cells"
"PLAC8",3.11012011529637e-126,0.715622789774972,0.445,0.072,5.77113888594395e-122,"NK cells"
"TRDC",2.5412802886564e-124,0.652269591664282,0.314,0.026,4.71559970363081e-120,"NK cells"
"S1PR5",5.36764190040934e-123,0.32714117831853,0.195,0.004,9.96019631039957e-119,"NK cells"
"CD52",3.8378868479859e-115,1.20187715521169,0.696,0.335,7.12158283512264e-111,"NK cells"
"HLA-C",1.29131443544706e-109,0.716948396302584,1,0.925,2.39616306641557e-105,"NK cells"
"CLIC3",2.20435951151271e-94,0.512376604467562,0.277,0.038,4.09040950956299e-90,"NK cells"
"EFHD2",2.82335427252153e-87,0.556411731018801,0.475,0.189,5.23901618809094e-83,"NK cells"
"CCL4",1.63845690989662e-86,0.892516451248078,0.871,0.478,3.04032064200417e-82,"NK cells"
"CD7",1.11985274447203e-82,0.726880267539732,0.523,0.179,2.0779987526423e-78,"NK cells"
"B2M",3.77438102562163e-80,0.581615740881879,1,0.999,7.00374143114349e-76,"NK cells"
"CST3",1.2222970914147e-77,-1.884606365523,0.44,0.662,2.26809448282913e-73,"NK cells"
"PFN1",8.49048593663392e-77,0.682430019479582,0.932,0.803,1.57549457040179e-72,"NK cells"
"S100A4",2.27741658873599e-76,0.735459921835274,0.857,0.504,4.2259742220585e-72,"NK cells"
"SH3BGRL3",4.54145284206197e-76,0.731235689820173,0.839,0.588,8.42711989373019e-72,"NK cells"
"TRBC1",1.05741537055825e-73,0.575386569178315,0.474,0.147,1.96213996160789e-69,"NK cells"
"ARL4C",9.29188839792143e-73,0.585930402208988,0.518,0.19,1.7242028111183e-68,"NK cells"
"C12orf75",1.22126427449497e-72,0.524744279810541,0.435,0.132,2.26617798775287e-68,"NK cells"
"CD74",7.17415563383193e-72,-1.65385711453673,0.744,0.78,1.33123631941385e-67,"NK cells"
"IFITM3",1.68005843692718e-71,-1.30330389935234,0.185,0.503,3.11751643556208e-67,"NK cells"
"PTGDS",2.38961490442102e-68,0.904138551252203,0.144,0.008,4.43416941664365e-64,"NK cells"
"HLA-B",5.9050145669756e-68,0.530602757012244,1,0.937,1.09573450304799e-63,"NK cells"
"IFI27",2.00459983072489e-67,-1.6445234623437,0.576,0.599,3.7197354458931e-63,"NK cells"
"HLA-DRA",8.5062137424334e-66,-1.54792747396911,0.46,0.604,1.57841302204594e-61,"NK cells"
"NPC2",8.07532651538934e-65,-0.912051726720198,0.141,0.454,1.49845758819565e-60,"NK cells"
"ARPC2",3.7972751783484e-63,0.603412376658083,0.728,0.516,7.0462238209433e-59,"NK cells"
"ABHD17A",6.98096874054371e-63,0.412312572825879,0.34,0.123,1.29538855949529e-58,"NK cells"
"HLA-A",1.3896774069402e-62,0.519088719041888,1,0.953,2.57868539631824e-58,"NK cells"
"PSAP",1.50033321347376e-61,-1.03588009954969,0.231,0.534,2.7840183109219e-57,"NK cells"
"MARCKS",2.003635963905e-61,-0.571142446076035,0.007,0.239,3.71794689462212e-57,"NK cells"
"TRGC1",2.98489545090989e-61,0.448683139974057,0.27,0.052,5.53877199870839e-57,"NK cells"
"DDIT4",1.09243693540799e-60,0.634973764002413,0.584,0.294,2.02712597734307e-56,"NK cells"
"FCGRT",3.19119228100829e-59,-0.678656735897976,0.053,0.32,5.92157639663898e-55,"NK cells"
"CREM",1.86921165481179e-58,0.619190006171357,0.509,0.285,3.46850914666876e-54,"NK cells"
"CD9",5.85826621340306e-58,-0.731927741072966,0.059,0.331,1.08705987855907e-53,"NK cells"
"HLA-DRB5",4.14434450479663e-57,-1.06659154174451,0.199,0.459,7.69024566310063e-53,"NK cells"
"IL32",5.35789940052996e-57,0.624758567978036,0.75,0.419,9.94211812762339e-53,"NK cells"
