species,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
Tree shrew,FABP4,0,4.095343633,0.81,0.2,0,endothelial
Tree shrew,EDNRB,0,3.685811311,0.808,0.127,0,endothelial
Tree shrew,PLVAP,0,3.66658526,0.835,0.128,0,endothelial
Tree shrew,DNASE1L3li1,0,3.464966332,0.844,0.199,0,endothelial
Tree shrew,FLT1,0,3.421898151,0.831,0.114,0,endothelial
Tree shrew,PLPP3,0,3.40641798,0.865,0.204,0,endothelial
Tree shrew,EMCN,0,3.251507649,0.838,0.143,0,endothelial
Tree shrew,ADGRF5,0,3.202722051,0.779,0.077,0,endothelial
Tree shrew,CD36,0,3.139683019,0.779,0.163,0,endothelial
Tree shrew,LYVE1,0,3.086666507,0.805,0.233,0,endothelial
Tree shrew,RAMP2,0,2.988488595,0.83,0.134,0,endothelial
Tree shrew,CAVIN2,0,2.95303051,0.721,0.073,0,endothelial
Tree shrew,PTPRB,0,2.931797884,0.762,0.08,0,endothelial
Tree shrew,TEK,0,2.846654216,0.72,0.063,0,endothelial
Tree shrew,APP,0,2.845909818,0.819,0.251,0,endothelial
Tree shrew,CDKN1C,0,2.841940453,0.757,0.28,0,endothelial
Tree shrew,SPATA5,0,2.766354254,0.615,0.131,0,endothelial
Tree shrew,ADGRL4,0,2.729722322,0.692,0.056,0,endothelial
Tree shrew,RGCC,0,2.728539917,0.722,0.176,0,endothelial
Tree shrew,TGFBR2,0,2.719653772,0.779,0.204,0,endothelial
Tree shrew,PLAT,0,2.622866872,0.668,0.083,0,endothelial
Tree shrew,NR2F2,0,2.594858225,0.758,0.226,0,endothelial
Tree shrew,ELK3,0,2.560286843,0.769,0.243,0,endothelial
Tree shrew,ICAM2,0,2.533414211,0.72,0.083,0,endothelial
Tree shrew,S1PR1,0,2.519725935,0.672,0.078,0,endothelial
Tree shrew,EPAS1,0,2.516756983,0.724,0.165,0,endothelial
Tree shrew,TIMP3,0,2.486115499,0.952,0.639,0,endothelial
Tree shrew,PODXL,0,2.47946227,0.655,0.058,0,endothelial
Tree shrew,NOSTRIN,0,2.448991994,0.673,0.076,0,endothelial
Tree shrew,ACKR2,0,2.440587132,0.491,0.04,0,endothelial
Tree shrew,KDR,0,2.401217742,0.628,0.041,0,endothelial
Tree shrew,RAMP3,0,2.391133521,0.648,0.055,0,endothelial
Tree shrew,F8,0,2.382437268,0.579,0.042,0,endothelial
Tree shrew,TCF4,0,2.353890492,0.782,0.358,0,endothelial
Tree shrew,FABP5li2,0,2.35239672,0.67,0.154,0,endothelial
Tree shrew,CLDN5,0,2.325412187,0.541,0.056,0,endothelial
Tree shrew,SPTBN1,0,2.3093581,0.845,0.458,0,endothelial
Tree shrew,TXNIP,0,2.308627772,0.927,0.664,0,endothelial
Tree shrew,ENG,0,2.297700704,0.666,0.087,0,endothelial
Tree shrew,CEMIP2,0,2.291505402,0.613,0.142,0,endothelial
Tree shrew,SLC9A3R2,0,2.283840903,0.67,0.098,0,endothelial
Tree shrew,TIMP4,0,2.27699438,0.585,0.05,0,endothelial
Tree shrew,L1TD1li5,0,2.26893863,0.505,0.071,0,endothelial
Tree shrew,RBP5,0,2.255018173,0.586,0.052,0,endothelial
Tree shrew,EHD3,0,2.253143462,0.535,0.115,0,endothelial
Tree shrew,MAL,0,2.215948467,0.663,0.115,0,endothelial
Tree shrew,MT1,0,2.197259587,0.888,0.502,0,endothelial
Tree shrew,TMEM176A,0,2.170732484,0.807,0.423,0,endothelial
Tree shrew,TSC22D1,0,2.142160759,0.735,0.386,0,endothelial
Tree shrew,CSGALNACT1,0,2.11296414,0.601,0.102,0,endothelial
Tree shrew,DLC1,0,2.081938241,0.646,0.149,0,endothelial
Tree shrew,INSR,0,2.068777249,0.752,0.424,0,endothelial
Tree shrew,EGFL7,0,2.044331638,0.645,0.124,0,endothelial
Tree shrew,ERG,0,2.044322466,0.552,0.034,0,endothelial
Tree shrew,CYP7B1,0,2.017647188,0.559,0.094,0,endothelial
Tree shrew,CALCRL,0,2.010033719,0.56,0.039,0,endothelial
Tree shrew,COL4A1,0,1.969556045,0.559,0.055,0,endothelial
Tree shrew,RAPGEF5,0,1.966014933,0.572,0.113,0,endothelial
Tree shrew,GYPC,0,1.963229551,0.7,0.304,0,endothelial
Tree shrew,TMEM88,0,1.944237092,0.546,0.054,0,endothelial
Tree shrew,SPARC,0,1.926838691,0.69,0.125,0,endothelial
Tree shrew,LDB2,0,1.924700197,0.515,0.036,0,endothelial
Tree shrew,PHACTR2,0,1.916293477,0.631,0.191,0,endothelial
Tree shrew,TSORFli91,0,1.91624866,0.492,0.079,0,endothelial
Tree shrew,ADAMTS5,0,1.896642114,0.494,0.069,0,endothelial
Tree shrew,PREX2,0,1.859491339,0.531,0.045,0,endothelial
Tree shrew,C1ORF115,0,1.842924569,0.697,0.421,0,endothelial
Tree shrew,TINAGL1,0,1.838248504,0.543,0.052,0,endothelial
Tree shrew,SNCG,0,1.814009672,0.711,0.219,0,endothelial
Tree shrew,MAF,0,1.801163165,0.57,0.146,0,endothelial
Tree shrew,BST2,0,1.800029303,0.818,0.531,0,endothelial
